"ID";"Sub_ID1";"Sub_ID2";"Text"
"16";"2";"4";"UNI"
"16";"3";"0";"In Stundenplan integrieren"
"16";"4";"0";"Gedanke Chief Data Office in Verwaltung 0 Firma verankern"
"16";"5";"0";"Lehrpläne mit Bildungsministerium reformieren"
"17";"0";"0";"Verzeichnis noch nicht öffentlich verfügbarer Daten"
"17";"1";"0";"Feedback durch Community und rechtliche Bewertung"
"17";"2";"0";"Meist gefragter (verwendeter) Datenkatalog auf data gv at, von allen OEs einfordern die diese nich nicht anbieten"
"17";"3";"0";"Datenbörse"
"17";"3";"1";"Suche"
"17";"3";"2";"Biete"
"17";"4";"0";"Rubrik Folgende Daten hätte ich gerne..."
"17";"5";"0";"Gesetz dazu schaffen, sonst passiert es nicht"
"18";"0";"0";"Memorandum zur kreativen Reform der IKT -0 Ausbildung in Schulen, Vorbild UK, D"
"18";"1";"0";"Gut -0 wenn notwendig?"
"18";"2";"0";"ja, dringend notwendig, vor allem in AHS-Besuch (spezifische EDV-Schulen)"
"18";"3";"0";"Freigegenstand OGD an den Schulen"
"18";"4";"0";"Weg vom ECDL zu Grundlagen -0 Wissensvermittlung (Bsp UK)"
"19";"0";"0";"OGD-Formulare für offene Datenschnittstellen als Standard etablieren"
"19";"1";"0";"Portal mit OGD Standard einfach"
"19";"2";"0";"OGD-Entwickler, Wettbewerb"
"19";"2";"1";"jährliche Preisverleihung,"
"19";"2";"2";"OGD App-Store"
"19";"3";"0";"Zusammenarbeit und Austausch mit W3C"
"19";"4";"0";"Länderübergreifende Wettbewerbe"
"20";"0";"0";"Bündelung von Infos auf data gv at"
"20";"1";"0";"Workshops für SchülerInnen sowie LehrerInnen in den Stundenplan integrieren"
"20";"2";"0";"Austausch mit Schulen starten"
"20";"3";"0";"Memorandum für IKT-Kreativität mit Bildungsministerium erarbeiten"
"20";"4";"0";"OGD Gedanken weit verbreiten"
"20";"5";"0";"Wo liegen die Grenzen bei Veröffentlichung? vgl E-Card/Debatte ELGA"
"20";"6";"0";"Impuls für Schulbücher"
"21";"0";"0";"OGD Marketingkonzept"
"21";"1";"0";"OGD&OD Datenbotschaften"
"21";"2";"0";"Breiter Öffentlichkeit bekanntmachen daher Ausstellung"
"21";"3";"0";"Finanzierung abklären"
"21";"4";"0";"Politik integrieren, OGD Community Management, starke Verbindung der OKFN-Initiativen"
"21";"5";"0";"Kosten, Nutzen, Nutzerbedarf abklären"
"22";"0";"0";"Konkreten Nutzen von OGD-Projekten besser herausarbeiten"
"22";"1";"0";"um es als Feedback für weitere Initiativen zu verwenden"
"22";"2";"0";"Marketing-Strategie für OGD"
"22";"3";"0";"Nicht nur darüber reden sondern TUN"
"22";"3";"1";"OGD Praktik zusammenbringen, OGD Community, OGD Day"
"22";"3";"2";"stärkerer Fokus auf weiteren Nutzen für Verwaltung"
"22";"4";"0";"Gemeinde/Länder Offensive zur Bereitstellung/Nutzen/Vermarktung von OGD"
"23";"0";"0";"Technik rascher entwickeln"
"23";"1";"0";"Gemeinsame Finanzierung in der Cooperation"
"23";"2";"0";"Eine Infrastruktur, nicht alles mehrfach"
"23";"3";"0";"Anforderungen klären 0 festsetzen"
"23";"4";"0";"echte Publikation von Lösungen als Open Source"
"23";"5";"0";"alles OK"
"24";"0";"0";"Objetive Bewertung des Nutzens (zB Volkswirtschaftlich) und den Kosten"
"24";"1";"0";"Zuerst den Nutzen quantifizieren (nicht auf Kosten fokussieren)"
"24";"2";"0";"Nutzen ergibt sich unter Umständen erst nach Bereitstellung der Daten"
"24";"3";"0";"Kosten-Nuten Analyse zu OGD auf mehreren Ebenen"
"24";"4";"0";"Nutzenbewertung ist subjektiv und individuell"
"24";"4";"1";"Community soll App bewerten"
"24";"4";"2";"TOP 10 Anwendungen vgl App-Store"
"24";"5";"0";"Nutzen meist nur indirekt messbar"
"25";"0";"0";"Apps im Gesundheitsbereich"
"25";"1";"0";"Transparenz im Gesundheitsbereich (Kosten, Maßnahmen)"
"25";"2";"0";"positive Beispiele zeigen"
"25";"3";"0";"OGD und Gesundheitsdaten"
"25";"3";"1";"Außenwirkung"
"25";"4";"0";"Angst in den Abteilungen nehmen"
"25";"5";"0";"Kosten/Nutzen betrachten"
"26";"0";"0";"IFG & PSI auf Basis von data gv at"
"26";"1";"0";"Daten und Metadaten IFG & PSI fähig machen"
"26";"2";"0";"Datenstrukturen fertigstellen 0 veröffentlichen"
"26";"3";"0";"Konzept für One Size fits All vs zielgruppenorientierter Aussprache"
"26";"4";"0";"Querverbindungen zur INSPIRE-RC mit gesetzlichen Vorgaben beachten"
"26";"4";"1";"Datenharmonisierung"
"26";"5";"0";"öffentliches Interesse an IFG nutzen"
"27";"0";"0";"Die Wahrheit über OGD publizieren"
"27";"1";"0";"Marketing-Kampagne OGD bedeutet für mich..."
"27";"2";"0";"Was ist die Wahrheit?"
"27";"3";"0";"Das Positive/den Nutzen von OGD darstellen"
"27";"4";"0";"DIe Wahrheit ist irgendwo da draußen..."
"27";"4";"1";"Best practice Bsp"
"27";"4";"2";"Datenbotschaften"
"27";"5";"0";"Sammlung von int good practice Beispielen in Lebenslagen"
